Configuration,F1-macro,F1 Positive,F1 Negative,F1 Neutral,AUC-PR,G-mean,Accuracy
Baseline,0.6805,0.7806,0.7014,0.5596,0.7534,0.7558,0.7249
Class Weighting,0.6386,0.7141,0.6882,0.5134,0.7571,0.751,0.6694
Focal Loss (gamma=1),0.6784,0.7614,0.7213,0.5525,0.7687,0.754,0.7209
Focal Loss (gamma=2),0.6794,0.7605,0.7233,0.5543,0.7647,0.7564,0.7209
CW + Focal Loss,0.6683,0.7533,0.7068,0.5446,0.746,0.7576,0.706
SMOTE Full Balance,0.6355,0.7334,0.673,0.5,0.6888,0.7186,0.6829
SMOTE Partial Balance,0.647,0.7336,0.6801,0.5275,0.6943,0.7282,0.6883
ADASYN,0.6617,0.7599,0.6757,0.5495,0.7085,0.7367,0.7046
BT +20%,0.6909,0.7786,0.7108,0.5833,0.7652,0.7618,0.7304
BT +50%,0.6715,0.7752,0.7016,0.5376,0.7663,0.7484,0.7195
BT +100%,0.6715,0.7752,0.7016,0.5376,0.7663,0.7484,0.7195
BONUS A : SMOTE partial + MLP Pondere,0.6197,0.6844,0.6869,0.4876,0.7311,0.7314,0.6531
BONUS B : BT +10%,0.6884,0.7872,0.6965,0.5814,0.7597,0.751,0.7331
BONUS B : BT +75%,0.6715,0.7752,0.7016,0.5376,0.7663,0.7484,0.7195
